step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.0874,0.42222,,
2,1.84441,0.55556,,
3,2.57538,0.34444,,
4,2.50209,0.31111,,
5,2.16442,0.46667,,
6,1.81245,0.54444,,
7,2.07745,0.41111,,
8,1.87857,0.38889,,
9,1.56105,0.55556,,
10,1.43914,0.52222,,
11,1.42756,0.52222,,
12,1.45856,0.47778,,
13,1.28702,0.6,,
14,1.17381,0.63333,,
15,1.18334,0.55556,,
16,1.0918,0.63333,,
17,1.13622,0.57778,,
18,1.03372,0.65556,,
19,1.13633,0.56667,,
20,1.20977,0.57778,,
21,0.98794,0.63333,,
22,1.35586,0.6,,
23,1.01679,0.61111,,
24,1.00625,0.65556,,
25,0.92598,0.65556,,
26,0.97174,0.63333,,
27,0.72036,0.74444,,
28,0.97957,0.66667,,
29,0.75714,0.72222,,
30,1.14114,0.6,,
31,0.98055,0.66667,,
32,1.02278,0.67778,,
33,0.85526,0.67778,,
34,0.77885,0.73333,,
35,0.89819,0.65556,,
36,0.73028,0.72222,,
37,0.77928,0.73333,,
38,1.01708,0.62222,,
39,0.89007,0.67778,,
40,0.91636,0.7,,
41,0.94654,0.67778,,
42,0.9235,0.65556,,
43,0.91875,0.65556,,
44,0.75729,0.73333,,
45,0.93118,0.63333,,
46,0.72871,0.74444,,
47,0.88868,0.71111,,
48,0.78434,0.72222,,
49,0.86766,0.67778,,
50,0.8704,0.72222,,
51,1.10799,0.64444,,
52,0.82206,0.74444,,
53,0.76708,0.74444,,
54,0.95889,0.65556,,
55,0.93493,0.65556,,
56,0.94696,0.68889,,
57,1.00025,0.64444,,
58,0.85831,0.68889,,
59,1.01102,0.61111,,
60,0.95609,0.65556,,
61,0.86043,0.73333,,
62,0.79526,0.75556,,
63,0.78841,0.72222,,
64,1.03042,0.62222,,
65,0.82723,0.71111,,
66,0.70501,0.75556,,
67,1.04687,0.64444,,
68,0.89336,0.7,,
69,1.14606,0.6,,
70,0.89751,0.7,,
71,0.75902,0.75556,,
72,0.86305,0.67778,,
73,0.89058,0.67778,,
74,0.95126,0.66667,,
75,1.03362,0.61111,,
76,0.78578,0.75556,,
77,0.75147,0.76667,,
78,1.07977,0.62222,,
79,0.96522,0.63333,,
80,1.00842,0.63333,,
81,0.89842,0.63333,,
82,0.82306,0.67778,,
83,1.01706,0.65556,,
84,0.96678,0.65556,,
85,0.97781,0.61111,,
86,0.96061,0.65556,,
87,0.84113,0.66667,,
88,0.76363,0.73333,,
89,0.78111,0.7,,
90,0.78833,0.72222,,
91,0.91389,0.7,,
92,0.8488,0.64444,,
93,0.86827,0.71111,,
94,0.8034,0.66667,,
95,0.98752,0.62222,,
96,0.96457,0.64444,,
97,0.80906,0.7,,
98,0.93693,0.68889,,
99,0.89065,0.7,,
100,0.80496,0.73333,1.06845,0.65556
101,0.88589,0.7,,
102,0.65195,0.75556,,
103,0.89988,0.67778,,
104,0.80512,0.73333,,
105,0.89057,0.67778,,
106,0.82672,0.67778,,
107,0.81518,0.72222,,
